docs,topic,viewpoint,words,perspective,sum_topic
"From a religious point of view, of course abortions are wrong! God commanded man and woman to be fruitful and multiply (in marriage) to populate the earth. Unless I was absent the day of Sunday school or in the 10 years I spent at a Christian school we were taught that God said we could kill an unborn baby for whatever reason, I don't think it's right. 

From a political point of view, abortions are just an easy way out of parenthood. Feminists believe it's their right to get an abortion if they want to since it's ""their body"". Well, what about the baby inside them? They could be a female. Where's her rights? You just took hers away by allowing doctors to vacuum her out of your womb! How DISGUSTING. Also, abortions cause long term effects on a woman's body and mind. Any mother to be always becomes emotionally attached to her child the minute she finds out she's pregnant. Killing her child should be the LAST thing on her mind! Not to mention if she wants to have kids later on in life, she probably won't be able to conceive again bc of her previous abortions. They can affect fertility. All around, abortions are very wrong and should be made illegal immediately!",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
In the bible in exodus 20: 13 it says you shall not murder. I think it's wrong because it is killing a human being even if it is a fetus . It's still alive because it has a heart beat. Think about it how could you after you killed your own baby. I would be ashamed and would be on my knees repenting for what I did and be asking for His forgiveness,5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
You are Killing a baby! What if that baby was YOU. Its not the babies fault the dude couldn't pull out or wear a condom. I can see its ok if the mother is really not able to have the baby and could die if she goes through. It says in the bible to not murder. I hope when you stand infront of God someday he tells you it was okay to kill that person.,1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"Have you ever seen a picture of 12-24 week old baby? Tell me it isn't the most precious thing ever. Our stupid women of the world shouldn't be able to decide whether they can keep the baby or not. One of the Ten Commandments in the Bible says ""Thou shall not murder"" THIS IS MURDER. You're killing an innocent child that didnt even have a chance to breathe in our beautiful world. Abortion should be illegal. End of story.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"Bottom line- killing another child is homicide...Murder. If you decided to have sex and you, as a female, end up pregnant, that's your responsibility. If you were raped, then you're not at fault. However, if you do not want a child, then the better alternative is to put the child in the care of dependable, responsible adults you know closely and can trust. God is responsible for the creation of all life. The child was created for a reason; the female did not have a miscarriage for a reason. Getting an abortion is not only killing an innocent child, it is rejecting a gift from God.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"Abortion is never a mere personal choice but a grave offense against God and His creation. The anti-abortion struggle has always been a religious battle and foremost in its ranks have been Catholics across the country. This is because Church teaching on abortion is clear and unequivocal: Abortion is murder. There are no exceptions allowed, no compromises possible. It wrong and people should really think or use protection if you plan on having sex.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
It is murder and going against God's will. People need to stop abortion and take care of children!!!! We need children to carry on our family traditions and other things. Children are an important asset to our world. Hopefully people stop killing unborn babies. Thank you and have a nice day.,0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"One nation under God. Its been a statement known for years even in the PLEDGE OF ALLEGIANCE. Laws of today are even based on religion such as do not murder, do not steal, etc.. And freedom, having the chance to worship how we want buy the things we want because granted us FREE WILL. If this country was not under Gods word we'd be a mess. People would just killing and no justice would be served. If we are always doing are laws under Gods word, why change that up? If anything we should be let our teens be taught a lesson. If they want to have sex before marriage, let them, because they'll never learn. Although if they listen to God in the 1st place, this wouldn't be a issue.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"It should because you your gonna act old enough to conceive, then your old   enough to take the responsibility to keep that child. If you can't provide proper care for the infant give that baby up for adoption, it's the right thing to do! Killing infants is TERRIBLE god would want you to do the right thing!",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
They should not put them selves in that position if they do not what the child. No matter what is inside the female it is still human and its wrong in gods eyes he sees the fetus as a human being. But if it is from rape then it is different,0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"Supporting abortion is akin to supporting murder. God is life, the source that provides the mechanisms for life to take place. Life is awareness and death is the absence of awareness. To choose life supports God's will. To choose and support abortion is to choose Satan's will: death.   How is this subject debatable? God is in the creation of each life from conception to birth. Aborting the development of God's creation is, I believe, the worst possible sin. I wrote to President Obama challenging him to discuss this matter. He has been misled to believe a woman has the right to choose to murder God's creation. Ask a child what they say about abortion. Children are innocent and would never say they think terminating a child's chance at life is right in God's eyes. Before we are born we go through a process. That process begins with sexual conception and leads to the process of life. God is in the cells that create life, so when we abort that process we murder God's creation. We as humans have no right ever to stop the process that is created by our creator. I can go on and on, but if it you can't see that abortion is wrong then you are not in touch with creation. God bless all. George Edginton.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"Even if you're not religious or anything, HEAR ME OUT!
God creates each baby from conception with a PLAN and a PURPOSE for them; abortion destroys this baby's chance at life! And you can ban me or hate me or whatever, but you cannot get rid of God. One day you will come face to face with him and he will tell you that abortion was WRONG.
So ignore me, argue with me, but the Lord above says abortion is WRONG and therefore it is! So I pray for all of you that have been lied to that abortion is right. Thank you.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
Its wrong babies are gifts from God. I don't care how they were put into the world you don't kill it. Give it up for adoption. I should go kill my best friends son who was born a week ago. NO age should not matter its a human being. No abortion!!!,5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
They are still a valuable life and you are practically murdering a defenseless little child.  Being a Christian I believe that the bible is strictly against this and that its just plain wrong!  I can believe in it a little bit if they were raped and/or were medically unable to carry the baby.,5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"If you have baby developing in you are body, Leave it there. Even though abortion is legal in the U. S. That is not the way. If your getting   child, God is preparing you to test yourself and how much you care. If you kill that child, Don't even bother forgiving yourself. Remember, Children challenge you, And you get your child ahead of you and prepare for life because. . . There is no easy in life",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"If you love GOD and others, you wouldn't kill your own flesh and blood or potential flesh and blood. Your parents did not abort you. Why should you do it to your child?Life is sacred. Remember, small practices of killing can lead to mass killing. It is against what our creator, GOD, wants and has planned for me and you. GOD bless you all. Peace.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
I know that everyone makes mistakes but don't take your mistakes out on that baby.   You're taking life from a baby growing inside you. Do you know that youre smashing a baby's head when you get an abortion.   When women get an abortion that means that baby will never see the light of day. In my religion ( Christianity ) we believe that's a form of murder. So women that are not ready I would strongly suggest adoption NOT abortion,2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"No. It is wrong. Under NO CIRCUMSTANCES should any person get an a abortion, No matter the age or cause of pregnancy. The life within is Gods child, Not yours. Therefore, You have NO RIGHT to take said life. If it means sacrificing your own life, SO BE IT. If you are a child, I am sure your parents will seek counselling to help you through this challenging time. Pray to our Lord that you see this through. Through his guidance and strength you WILL do this.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
Abortion should be illegal God created the earth and us humans And to destroy a precious gift such as a baby that's messed up. Are mother's did not abort use so why should abort our babies those babies have a right like we do like we fight for our rights so let's fight for the rights of those babies. Let's give those babies a chance at life. Like how our mother's gave us a chance at life let's do the same for those babies.,5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"I'm Catholic, and abortion goes against everything I've been taught. Doctors are saving animals with their left hand, and killing innocent babies with their right. If I had the means, I would adopt every baby in the world that someone would abort. As soon as the baby starts to grow, it has feelings, and is in fact a human, no matter what the government calls it.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"The Bible says thou shalt not kill. A mother that carrying a child has no right to abort the child . Anyone who has an abortion is rebelling against God's law and it is wrong to have an abortion. It is a life they are taking. Nobody has the right to take lives, only God can do that. God did not give child-carrying mothers the option to get abortions. There is no exception to God's law.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"Proverbs 6:16-17 says that God HATES those who shed innocent blood! Deuteronomy 27:25 says, ""Cursed be he that taketh reward to slay an innocent person. And all the people shall say, Amen.""
Who could possibly be more innocent than an unborn baby?! Yet, our society has become so wicked that it condones the slaying of 1.5 million innocent children every year. The Bible says that God HATES people who do this.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"If you guys think that abortion is the right thing to do, then you people that think that aren't going to Heaven. You're going to Hell because the Bible says, ""Thou shalt not kill."" You people that are for abortion are morons that think the stupid media knows everything. Well, you're wrong, morons, they don't, so stop listening to their stupid lies.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"There is a distinct separation of those who are for the value of life and those for the destruction of life. It has always been a division of religion. Christianity has always fought and subversively taught that all people have value because they have been given life by God. No other life can extinction another life for its own percived ends or goals. A mother has no right take the life of her child just as Hilter had no right to take the life of so many. Christianity has always held that women, children, the disabled, the poor and the enslaved have value and therefore should be treated as such by others and the government. It has taken 2,000 years but finally human rights are a concept that is more that just the cry of Christianity, but this is where it started. Here to the advancement of human rights continues. A childs life, whether in the womb or out, is not the toy or possession of the mother. Life is the possession of no other person or being. Such values are not taught by any other study as explained here: http://www.exegeticalstruggles.com/2011/08/religion-is-better-than-science-why.html",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"Proverbs 6:16-19:
""There are six things the Lord hates,
       seven that are detestable to him:
               haughty eyes,
               a lying tongue,
               HANDS THAT SHED INNOCENT BLOOD,
               a heart that devises wicked schemes,
               feet that are quick to rush into evil,
               a false witness who pours out lies
               and a person who stirs up conflict in the community.""",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"I'm not going to go into religious detail about this. This should be clear as day to people from all religions. You have a baby in there, and you decide to intervene to get rid of it. Killing a single celled organism and a stem cell are two different things. The stem cells have 100% capability to become a baby, the cell, is a cell. That's all it will be.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"Abortion is a form of murder. The Bible says thou shalt not kill. A mother that carrying a child has no right to abort the child . Anyone who has an abortion is rebelling against God's law and it is wrong to have an abortion. It is a life they are taking. Nobody has the right to take lives, only God can do that. God did not give child-carrying mothers the option to get abortions. There is no exception to God's law.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"Hi my name is Kathryn and I am in year7. I go to sarah bonnell secondary school. In the bible it says DO NOT KILL and your killing the baby so that is braking the ten commandment. 
Even the law says DO NOT KILL. So my point is abortion should be band.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"The bible clearly states that we shall not commit murder. The termination of an embryo, fetus, or whatever ""clinical"" term chosen to represent the ""child"" is exactly the opposite of that. We cannot continue to change the rules and definitions to fit our situations. Just because the ""child"" is not fully developed yet in the weeks the abortion takes place, does not give us a right to classify him/her as anything other than that to make abortion seem OK. No matter the circumstances, it is morally wrong in every way to kill a living human being.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"Abortion is murder. You are killing a human being, once it has heartbeat that child is alive. Yes, in certain circumstances such as rape or the fetus being a danger for the mother to live, then that is understanding for a mother to have an abortion, otherwise.. NO! WHY should an unborn child have to suffer because the mother wanted to be not responsible? Even if she did take all precautions to not getting pregnant she STILL knows that there is a possibility of getting pregnant regardless.     Now what I feel they should do is put limit to this. For instance ,   alcohol in some states is illegal if you drink before the age of 21 or the age of 17, but afterwards it becomes legal in cases like this, if a female gets raped or can't hold the child due to medical reasons then NO, she should have the choice to have an abortion. Adoption is always an option though and even if that child is in unloved homes, or foster cares for years, etc. Well , that's God decision to decide how the child's future would be, not yours. Abortion is all around wrong, and in the bible it states it clearly but of course there is exceptions for certain situations.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
I really don't care what anyone else says about it being OK. IT IS WRONG! If any Christians say that it is OK? Tell me where in the world the Bible says that. K? The Bible is clear! MURDER IS WRONG! So abortion should be too! Spread the word! Please!,2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"Because it is HORRIBLE. You are killing an innocent child for your wrong action. I get it if you were sexually assaulted, that still doesn't mean you should kill an infant. Putting the child up for adoption is a much better decision. Abortion is also against God's word, and his plans for that child. What if God wanted that child to grow up to cure cancer? That makes you feel bad doesn't it? Well it should if you think killing an innocent little child is okay.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"An abortion overall is very unneccessary. I get it, Its a women body and she should choose what she wants to do with it, But have we ever stop to consider the other life in that body? It might be her body, But there is also another life inside of her and its not her life to end. For example the minute her doctor announces to her that she is pregnant she doesn't stop and think ""I have 20 fingers"" because why that life is separate from her. So I ask again when does life begin? To the people that think life begins when we are born would that mean you would still abort an eight month old baby in the womb or seven. When would be the time where we decide life starts. For those of you who did not a baby can't start to grow until whats called conception which is when the egg and the sperm meet. Its obvious to me that, Without that a baby can not start to form and that is where life for everyone begins. Have you ever stop to think if being pro-choice even makes sense to you, Or do you just keep using the rape excuse until someone budges? Think what is the opposite of life, Is it not death? Sounds harsh, I know but that's what your covering death with that choice, And what is the final choice to take away the life of the baby. I personally if you can't already tell am pro-life, And I try to hear people out and   see it from another point of view. I thought to myself if I was raped and got pregnant should I abort. My final answer would be no. Why? I would choose not to not just because statistically its a very very low possibility of that happening but because I believe that if god wanted me to be pregnant then so be it. I would love my child because the child wouldn't have been the problem. For those who wouldn't want it, Does it really cost you to let your baby live and put up for adoption instead of paying what thousands for an abortion. Also, To the ones who might have their health be at risk for having a baby, I believe in miracles and they happen everyday no women, No doctor, No man can tell you the final answer only god because whether we like it or not he has the final say, And finally for the ones who would still choose to abort because they made one stupid mistake and don't want to be embarrassed its not the babys fault and you know that very well.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
It's murder- plain murder. God blessed you with a child which is nothing but a gift so why would you kill your baby? It's rejecting a gift and that's a sin. God sees that you're killing your baby and that will hurt him. Imagine all those people who would die to have kids. Why kill your own flesh and blood.,1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"It is relevant to consider what the Bible has to say about unborn life. In Psalm 139, the psalmist David refers to himself in the womb. He makes it clear that he was there personally, not as a blob of tissue that later turned into him. The prophet Jeremiah wrote that the word of the Lord came to him saying, “Before I formed you in the womb I knew you, before you were born. I set you apart…” What these texts make clear is that every child in the womb is a unique person.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"God says ""tho shall not murder"" and abortion is slaughter. Also we say ""... One nation , under god"" when we pledge to our flag but do we really fulfill those word because God say not to murder but we don't anyway even though we say we will live by God. Food for thought.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"A fetus is still a breathing organism with a heartbeat and is still human.At least let it experience life.Not only does abortion go against the rule thou shall not kill,but it also destroys the amazing creation that GOD is working on.Abortion wasn't mentioned nor did it exist in the bible.The term fetus wasn't   mentioned either .So technically over 1billion of GOD's creations were killed by their own mothers.Instead of killing innocent unborn babies and feeling emotionally scarred about it later choose a method of birth control like a hysterectomy or vasectomy which is most effective or consider adoption for the child. With these methods maybe there would be less controversy and arguments over abortion. Also if you can't afford a vasectomy or hysterectomy use a good condom or use timing /calend",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"But remember there are other religions in the world   that say you can have an abortion inn Islam you can have an abortion before the 4 month period to have an abortion, and some people are not aetheists so they do not believe in God any way so what is the point",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
Life is a gift from God. We should treasure it and we must cherish the baby's life. Because it was a blessing for two persons love. which connects them together.,0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
